tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
t_0001,customer_123,True,2020-01-15 10:00:00,"My promo code SAVE20 didn't work at checkout, charged full price",r_0001,
r_0001,Uber_Support,False,2020-01-15 10:05:00,Sorry about that! Please DM us your trip details and the promo code — we'll check why it didn't apply.,,t_0001
t_0002,customer_123,True,2020-01-15 10:00:00,"Applied discount code but still got charged $45, code was supposed to be 50% off",r_0002,
r_0002,Uber_Support,False,2020-01-15 10:05:00,Sorry about that! Please DM us your trip details and the promo code — we'll check why it didn't apply.,,t_0002
t_0003,customer_123,True,2020-01-15 10:00:00,Why won't my uber promo apply? Tried 3 times,r_0003,
r_0003,Uber_Support,False,2020-01-15 10:05:00,Sorry about that! Please DM us your trip details and the promo code — we'll check why it didn't apply.,,t_0003
t_0004,customer_123,True,2020-01-15 10:00:00,Code UBEREATS25 says invalid but it's from your email campaign,r_0004,
r_0004,Uber_Support,False,2020-01-15 10:05:00,Sorry about that! Please DM us your trip details and the promo code — we'll check why it didn't apply.,,t_0004
t_0005,customer_123,True,2020-01-15 10:00:00,Promo not working again!!! This is the 2nd time this month,r_0005,
r_0005,Uber_Support,False,2020-01-15 10:05:00,Sorry about that! Please DM us your trip details and the promo code — we'll check why it didn't apply.,,t_0005
t_0006,customer_123,True,2020-01-15 10:00:00,Need a receipt for my trip yesterday for expense report,r_0006,
r_0006,Uber_Support,False,2020-01-15 10:05:00,You can find receipts in the app under Your Trips → select trip → Receipt. DM us if you need help!,,t_0006
t_0007,customer_123,True,2020-01-15 10:00:00,Can you email me the invoice for trip on March 15?,r_0007,
r_0007,Uber_Support,False,2020-01-15 10:05:00,You can find receipts in the app under Your Trips → select trip → Receipt. DM us if you need help!,,t_0007
t_0008,customer_123,True,2020-01-15 10:00:00,How do I get a receipt? Can't find it in the app,r_0008,
r_0008,Uber_Support,False,2020-01-15 10:05:00,You can find receipts in the app under Your Trips → select trip → Receipt. DM us if you need help!,,t_0008
t_0009,customer_123,True,2020-01-15 10:00:00,Business trip receipt needed - trip ID 12345,r_0009,
r_0009,Uber_Support,False,2020-01-15 10:05:00,You can find receipts in the app under Your Trips → select trip → Receipt. DM us if you need help!,,t_0009
t_0010,customer_123,True,2020-01-15 10:00:00,Please send receipt to my work email for reimbursement,r_0010,
r_0010,Uber_Support,False,2020-01-15 10:05:00,You can find receipts in the app under Your Trips → select trip → Receipt. DM us if you need help!,,t_0010
t_0011,customer_123,True,2020-01-15 10:00:00,"Left my phone in the Uber last night, white Toyota Camry around 11pm",r_0011,
r_0011,Uber_Support,False,2020-01-15 10:05:00,Sorry to hear that! Use the in-app Lost Item feature (Your Trips → trip → I lost an item) to contact your driver.,,t_0011
t_0012,customer_123,True,2020-01-15 10:00:00,"Forgot my wallet in the car, driver already left. Trip was to airport",r_0012,
r_0012,Uber_Support,False,2020-01-15 10:05:00,Sorry to hear that! Use the in-app Lost Item feature (Your Trips → trip → I lost an item) to contact your driver.,,t_0012
t_0013,customer_123,True,2020-01-15 10:00:00,"I left my keys in the back seat, need to contact driver",r_0013,
r_0013,Uber_Support,False,2020-01-15 10:05:00,Sorry to hear that! Use the in-app Lost Item feature (Your Trips → trip → I lost an item) to contact your driver.,,t_0013
t_0014,customer_123,True,2020-01-15 10:00:00,"Lost item - blue backpack left in vehicle, trip ended 30 min ago",r_0014,
r_0014,Uber_Support,False,2020-01-15 10:05:00,Sorry to hear that! Use the in-app Lost Item feature (Your Trips → trip → I lost an item) to contact your driver.,,t_0014
t_0015,customer_123,True,2020-01-15 10:00:00,My AirPods are still in the car from my ride this morning,r_0015,
r_0015,Uber_Support,False,2020-01-15 10:05:00,Sorry to hear that! Use the in-app Lost Item feature (Your Trips → trip → I lost an item) to contact your driver.,,t_0015
t_0016,customer_123,True,2020-01-15 10:00:00,App keeps crashing when I try to request a ride,r_0016,
r_0016,Uber_Support,False,2020-01-15 10:05:00,"Sorry for the trouble! Try force-closing the app. If it persists, DM us your device and app version.",,t_0016
t_0017,customer_123,True,2020-01-15 10:00:00,"Payment method won't save, keeps saying error occurred",r_0017,
r_0017,Uber_Support,False,2020-01-15 10:05:00,"Sorry for the trouble! Try force-closing the app. If it persists, DM us your device and app version.",,t_0017
t_0018,customer_123,True,2020-01-15 10:00:00,"GPS showing wrong location, can't get picked up",r_0018,
r_0018,Uber_Support,False,2020-01-15 10:05:00,"Sorry for the trouble! Try force-closing the app. If it persists, DM us your device and app version.",,t_0018
t_0019,customer_123,True,2020-01-15 10:00:00,"Can't login to my account, stuck on loading screen",r_0019,
r_0019,Uber_Support,False,2020-01-15 10:05:00,"Sorry for the trouble! Try force-closing the app. If it persists, DM us your device and app version.",,t_0019
t_0020,customer_123,True,2020-01-15 10:00:00,"App frozen on splash screen after update, iPhone 14",r_0020,
r_0020,Uber_Support,False,2020-01-15 10:05:00,"Sorry for the trouble! Try force-closing the app. If it persists, DM us your device and app version.",,t_0020
t_0021,customer_123,True,2020-01-15 10:00:00,"Charged $67 for a trip that normally costs $25, this is ridiculous",r_0021,
r_0021,Uber_Support,False,2020-01-15 10:05:00,We understand fare concerns. Please DM us trip details — our team will review the route and charges.,,t_0021
t_0022,customer_123,True,2020-01-15 10:00:00,"Driver took a longer route on purpose, fare was double what it should be",r_0022,
r_0022,Uber_Support,False,2020-01-15 10:05:00,We understand fare concerns. Please DM us trip details — our team will review the route and charges.,,t_0022
